logical_identifier,title,name,description,alias_id,alias_title
urn:nasa:pds:context:facility:laboratory.aps,Advanced Photon Source,Advanced Photon Source,"             The Advanced Photon Source (APS) at Argonne National Laboratory is funded by the Office of Science-Basic              Energy Sciences in the U.S. Department of Energy. The APS research facility provides ultra-bright,              high-energy x-ray beams to scientists from a multitude of scientific disciplines and institutions. For more              information see https://www.aps.anl.gov/.         ",,
urn:nasa:pds:context:facility:laboratory.arc_ssa,The ARC/SSA Astrochemistry Lab,,"Updated schema version. Adding missing ""instrument"" references. Adding missing ""agency"" references.",,
urn:nasa:pds:context:facility:laboratory.asf,Australian Synchrotron Facility,Australian Synchrotron,"           Australian Synchrotron facility is a 3 GeV national synchrotron facility located in Clayton (southeastern suburbs) in Melbourne,           Victoria, Australia. The Australian Synchrotron is a light source facility (in contrast to a collider), which uses particle            accelerators to produce a beam of high energy electrons that are boosted to nearly the speed of light and directed into a storage            ring where they circulate for many hours. As the path of these electrons are deflected in the storage ring by either bending magnets            or insertion devices, they emit synchrotron light. The light is channelled to experimental endstations containing specialised            equipment, enabling a range of research applications including high resolution imagery that is not possible under normal laboratory            conditions.                      The Australian Synchrotron supports the research needs of Australia’s major universities and research centres, and businesses ranging            from small-to-medium enterprises to multinational companies. During 2014-15 the Australian Synchrotron supported more than 4,300            researcher visits and close to 1,000 experiments in areas such as medicine, agriculture, environment, defence, transport, advanced            manufacturing and mining.                      The electrons used to provide the synchrotron light are first produced at the electron gun, by thermionic emission from a heated metal           cathode. The emitted electrons are then accelerated to an energy of 90 keV (kilo-electron volts) by a 90 kilovolt potential applied            across the gun and make their way into the linear accelerator. The linear accelerator (or linac) uses a series of RF cavities, operating            at a frequency of 3 GHz, to accelerate the electron beam to an energy of 100 MeV, over a distance of around 15 metres. Due to the nature            of this acceleration, the beam must be separated into discrete packets, or 'bunches'. The bunching process is done at the start of the            linac, using several 'bunching' cavities. The linac can accelerate a beam once every second. Further along the linac quadrupole magnets            are used to help focus the electron beam. The booster is an electron synchrotron which takes the 100 MeV beam from the linac and            increases its energy to 3 GeV. The booster ring is 130 metres in circumference and contains a single 5-cell RF cavity (operating at 500            MHz) which provides energy to the electron beam. Acceleration of the beam is achieved by a simultaneous ramping up of the magnet strength            and cavity fields. Each ramping cycle takes approximately 1 second (for a complete ramp up and down). The storage ring is the final            destination for the accelerated electrons. It is 216 metres in circumference and consists of 14 nearly identical sectors. Each sector            consists of a straight section and an arc, with the arcs containing two dipole 'bending' magnets each. Each dipole magnet is a potential            source of synchrotron light and most straight sections can also host an insertion device, giving the possibility of 30+ beamlines at the            Australian Synchrotron. Two of the straight sections are used to host the storage ring 500 MHz RF cavities, which are essential for            replacing the energy that the beam loses through synchrotron radiation. The storage ring also contains a large number of quadrupole            and sextupole magnets used for beam focusing and chromaticity corrections. The ring is designed to hold 200 mA of stored current with a            beam lifetime of over 20 hours. The electron beam is kept within a very high vacuum at all times during the acceleration process and            within the storage ring. This vacuum is necessary as any beam collisions with gas molecules will quickly degrade the beam quality and            reduce the lifetime of the beam. The vacuum is achieved by enclosing the beam in a stainless steel pipe system, with numerous vacuum            pump systems continually working to keep the vacuum quality high. Pressure within the storage ring is typically around 10−13 bar (10 nPa).                      Each digital and analogue I/O channel is associated with a database entry in a customised distributed open source database system called            EPICS (Experimental Physics and Industrial Control System). The condition of the system is monitored and controlled by connecting            specialised GUIs to the specified database entries. There are about 115,000 database entries (also known as process variables), most of            which relate to the physical I/O. About 35,000 of these are permanently archived at intervals ranging from milliseconds to minutes. Some            high level control of the physics-related parameters of the beam is provided through MATLAB which also provides data analysis tools and an            interface with a computerised model of the accelerator. Personnel and equipment protection is achieved through the use of PLC-based systems,            which also transfer data to EPICS. The Beamlines also use EPICS as the basis for their control.                      Facility Website -- http://www.synchrotron.org.au         ",,
urn:nasa:pds:context:facility:laboratory.au-msl,Aarhus University Mars Simulation Laboratory,Aarhus University Mars Simulation Laboratory,"           The Aarhus University Mars Simulation Laboratory is located in the Department of Geoscience at            Aarhus University in Aarhus, Denmark and is managed by Dr. Ralf Müller and Dr. Jonathon Merrison.           The Mars Simulation Laboratory is an interdisciplinary research collaboration of biologists, chemists,            geologists and physicists who work together on joint research related to the planet Mars. The group has            built its own research facilities and has access to all necessary facilities under the Faculty of Science            and Technology. Furthermore, some group members have developed instruments for Mars missions.                      The Laboratory has access to unique facilities including: two recirculating wind tunnels capable of working            over long time under low pressure conditions, two one-bar wind tunnels for sand transport, a microbiology            experimental Mars condition chamber, and suitable Mars analogue dust and soil materials.            In connection with research projects, the group also develops wind and dust sensing instruments.         ",au-msl,
urn:nasa:pds:context:facility:laboratory.classe,Center for Laboratory Astrophysics and Space Science Experiments (CLASSE),Center for Laboratory Astrophysics and Space Science Experiments,"       A Southwest Research Institute (SwRI) conglomerate of planetary scientists in the       Space Science and Engineering Division, engaged in experimental research to       understand the nature of astrophysical environments and processes as revealed by       space missions to extraterrestrial targets.     ",,
urn:nasa:pds:context:facility:laboratory.cls,Canadian Light Source Facility,Canadian Light Source,"           Canada's national synchrotron light source facility located at the University of Saskatoon in Saskatoon, Saskatchewan.           The CLS has a third-generation 2.9 GeV storage ring, and the building occupies a footprint the size of a football field.           It opened in 2004 after a 30-year campaign by the Canadian scientific community to establish a synchrotron radiation            facility in Canada. It has expanded both its complement of beamlines and its building in two phases since opening, and its            official visitors have included Queen Elizabeth II and Prince Philip. As a national synchrotron facility with over 1000 individual           users, it hosts scientists from all regions of Canada and around 20 other countries. Research at the CLS has ranged from viruses           to superconductors to dinosaurs, and it has also been noted for its industrial science and its high school education programs.                      The injection system consists of a 250 MeV LINAC, a low energy transfer line, a 2.9 GeV booster synchrotron and a high energy transfer           line. The LINAC was operated for over 30 years as part of the Saskatchewan Accelerator Lab and operates at 2856 MHz. The 78m low            energy transfer line takes the electrons from the below-ground LINAC to the ground level booster in the newer CLS building, via two            vertical chicanes. The full energy 2.9 GeV booster, chosen to give high orbit stability in the storage ring, operates at 1 Hz, with an            RF frequency of 500 MHz, unsynchronised with the LINAC. This results in significant beam loss at the extraction energy.                      The storage ring cell structure has a fairly compact lattice with twelve straight sections available for injection, RF cavities and 9            sections available for insertion devices. Each cell has two bending magnets detuned to allow some dispersion in the straights – the            so-called double-bend achromat structure – and thus reduce the overall beam size. As well as the two bend magnets each cell has three            families of quadrupole magnets and two families of sextupole magnets. The ring circumference is 171m, with a straight section length            of 5.2m. The CLS is the smallest of the newer synchrotron facilities, which results in a relatively high horizontal beam emittance of            18.2 nm-rad. The CLS was also one of the first facilities to chicane two undulators in one straight section, to maximize the number            of insertion device beamlines.                      All five of the phase I X-ray beamlines use insertion devices. Four use permanent magnet undulators designed and assembled at the CLS,            including one in-vacuum undulator and one elliptically polarized undulator (EPU). The HXMA beamline uses a superconducting wiggler            built by the Budker Institute of Nuclear Physics in Novosibirsk. Phase II added two further devices including another Budker superconducting            wiggler, for the BMIT beamline. Phase III will add four more devices, filling 8 of the 9 available straight sections. Longer term development            includes the replacement of two of the phase I undulators with elliptically polarizing devices.                      Facility Website -- http://www.lightsource.ca         ",Centre canadien de rayonnement synchrotron (CCRS),
urn:nasa:pds:context:facility:laboratory.ghent-ice,"International Centre of Eremology, Ghent University, Belgium","International Centre of Eremology, Ghent University, Belgium","             The International Centre of Eremology (ICE) at Ghent University, Belgium was founded in 1989 by Prof. Em. Dr. ir. M.F. De Boodt as a              reaction to the disasterous droughts Sahelian countries were suffering from sin the early 1970s. As such a special branch of science             was devoted to the study and management of drylands. The late French professor, Theodore Monod (founder of IFAN - l'Institut Français              d'Afrique Noire, Dakar, Sénégal) who first used the word 'eremology' - meaning the study of deserts (erhmoz - Greek for desert).                          ICE offers a base of operations for students and scientists to conduct various research, educational and exchange projects in many              dryland countries all over the world.                          Facility website: https://www.ugent.be/bw/environment/en/research/sophy/ice         ",,
urn:nasa:pds:context:facility:laboratory.guelph-wel,"Wind Erosion Laboratory, Department of Geography, University of Guelph, Ontario, Canada","Wind Erosion Laboratory, Department of Geography, University of Guelph, Ontario, Canada","             Aeolian laboratory located within the Department of Geopgraphy at the Universiity of Guelph, in Geulph, Ontario, Canada.         ",,
urn:nasa:pds:context:facility:laboratory.hofmeister,A. Hofmeister/Mineral Spectroscopy Laboratory,,"Updated schema version. Adding missing ""instrument"" references. Adding missing ""agency"" references.",,
urn:nasa:pds:context:facility:laboratory.imperial_college-hydraulics,"Imperial College, London, Hydraulics Laboratory","Imperial College, London - Hydraulics Laboratory","           Historical laboratory from the early 1900s used for sediment transport studies from hydrodynamic and aeolian tunnels and flumes.           In 1935, Prof. C.M. White a civil engineer made space for the R.A.Bagnold's wooden wind tunnel. The lab pursued fundamental research            into such topics as wave-pressures, sediment transport, spillway design, pipe and channel friction, cavitation, drag forces and flood predictions.           ",,
