logical_identifier,title,name,description,alias_id,alias_title
urn:nasa:pds:context:telescope:amos.aeos,AEOS,,"         The AEOS is a 3.7 m telescope located at 37.701000, 203.743000 at the Air Force  Maui Optical and Supercomputing Site (AMOS).                  The Advanced Electro Optic Systems (AEOS) Telescope is a 3.7 m reflector.         ",,
urn:nasa:pds:context:telescope:amos.geodss,Ground-based Electro-Optical Deep Space Surveillance (GEODSS),,"         The Ground-based Electro-Optical Deep Space Surveillance (GEODSS is a 1.0 m telescope located at 20.708010, 203.742400 at the Air Force  Maui Optical and Supercomputing Site (AMOS).                  Ground-based Electro-Optical Deep Space Surveillance (GEODSS) 1.0 m telescope at the Air Force Maui Optical and Supercomputing Site (AMOS) in Haleakala, Maui, HI.          ",,
urn:nasa:pds:context:telescope:amos.msss1m2,Maui Space Surveillance Site (MSSS) 1.2m,,"         The Maui Space Surveillance Site (MSSS) 1.2m is a 1.2 m telescope located at 20.708010, 203.742400 at the Air Force  Maui Optical and Supercomputing Site (AMOS).                  The Maui Space Surveillance Site (MSSS) 1.2 m telescope located on the summit of Haleakala, Maui, HI.         ",,
urn:nasa:pds:context:telescope:apache_point.arc3m5,Apache Point Observatory 3.5M ARC Ritchey-Chretien altazimuth reflector,,"The Astrophysical Research Consortium 3.5-meter telescope is located at             the Apache Point Observatory in the Sacramento Mountains in Sunspot, NM.             The observatory stands at an altitude of 2788 meters, latitude 32.8             degrees N, and longitude 105.8 degrees W. The ARC 3.5-meter telescope is             designed with an altitude-azimuth mount. The primary and secondary mirrors             provide a working f/number of 10.4 and an effective focal length of 35238.7 mm.             The telescope was designed to host various instruments simultaneously through              the use of multiple Nasmyth ports and a movable tertiary mirror.         ",,
urn:nasa:pds:context:telescope:apache_point.sdss2m5,2.5-m SDSS Ritchey-Chretien altazimuth reflector,,"         The 2.5-m SDSS Ritchey-Chretien altazimuth reflector is a 2.5 m telescope located at 32.783333, 254.183334 at the Apache Point Observatory.                  Operational 05/1998+         ",,
urn:nasa:pds:context:telescope:arecibo.305m,305-m fixed spherical reflecting antenna,," 	    Arecibo's 305-m fixed spherical reflecting radio antenna was the primary telescope 	    at Arecibo Observatory between 1963 and 2020, when it was irreparably damaged by a 	    series of failures in its supporting cables.  Because the surface was spherical, 	    the antenna used 'line' feeds, each connected to receivers in 'carriage houses' 	    supported above the reflector by towers and cables. In the late 1990s one of the 	    carriage houses was replaced with reflecting optics that corrected the spherical 	    aberration over a wide bandwidth, reduced receiver noise by a factor of several, 	    and made gain less dependent on pointing.  The antenna was 'pointed' over angles of 	    approximately 0-20 degrees from zenith by by moving the carriage houses. Initially 	    the antenna was used for radio astronomy above 50 MHz and solar system radar 	    astronomy (including active probing of Earth's upper atmosphere) at 430 MHz. In the 	    mid-1970s, the reflecting surface was improved and new receivers and transmitters 	    were added, allowing radio observations to 11 GHz and radar operation at 2380 MHz.          The position of the telescope was determined through surveying and comparison to         stations determined using the Global Positioning System. The accuracy of the position         is approximately 1m.                          Derived position in other coordinate systems:               Geocentric Longitude:   -66 45 09.70             Geocentric Latitude:    +18 13 46.45             Astronomical Longitude: -66 45 08.00             Astronomical Latitude:  +18 21 13.07             Elevation (above geoid):    496.84 m             Geocentric X:           2390487.55 m             Geocentric Y:          -5564731.65 m             Geocentric Z:           1994725.93 m         ",,
urn:nasa:pds:context:telescope:asiago.copernico1m82,Copernico 1.82m Telescope,,"         The Copernico 1.82m Telescope is a 1.82 m telescope located at 45.843400, 11.571400 at the Asiago Astrophysical Observatory.                  The Asiago 1.82m telescope, inaugurated in 1973 and dedicated to N. Copernicus, is a classic Cassegrain reflector. It is the main observing facility at the observing site of Cima Ekar (1350m) of the Asiago Astrophysical Observatory.         ",,
urn:nasa:pds:context:telescope:bopps.sto,Stratospheric TeraHertz Observatory (STO) Telescope,,             The Stratospheric TeraHertz Observatory (STO) telescope is a light-weight              telescope designed to be carried as part of a balloon-borne payload.  It             has an 80cm diamater hyperboloid primary mirror designed for maximum              performance in the 300-5000nm wavelength range.              This telescope originally flew on the Stratospheric TeraHertz Observatory              and was refitted to be carried by the BOPPS (balloon observatory) gondola.         ,,
urn:nasa:pds:context:telescope:caha-calar_alto.1m23,1.23m Telescope,,"Updated schema version. Adding missing ""investigation"" references. Adding missing ""agency"" references. Adding missing ""telescope"" references.",,
urn:nasa:pds:context:telescope:canberra.dss33_34m,DSS-33 34-m Radio Telescope,,"             Deep Space Station 33 (DSS-33) is expected to become operational in 2026. The antenna will             used the beam waveguide (BWG) design in which transmission and reception equipment is              located underground rather than in a cone at the focal point of the dish. The radio signal              is guided from the subreflector through a hole in the surface of the dish to the receiving              equipment via a system of reflecting mirrors inside a large tube. The reverse path allows              transmission.  This design reduces weight on the reflecting surface, insulates electronics              from environmental factors including dish movement, and simplifies maintenance. DSS-33 will              be able to transmit at 20 kW 7.1.  It will receive right- and left-circular polarization              at 8.4, and 32 GHz. Antenna coordinates are not yet available.                          The Canberra Deep Space Communications Complex (CDSCC) is managed by the Commonwealth              Scientific and Industrial Research Organisation (CSIRO), Australia's national science              research agency. The CDSCC is at Tidbinbilla, about 35 km southwest of Canberra, ACT.         ",,
